"Column Name","Data Type","Nullable","Default","Primary Key"
"PRODUCT_ID","NUMBER","No","","1"
"PRODUCT_NAME","VARCHAR2(50)","Yes","",""
"PRODUCT_TYPE","VARCHAR2(50)","Yes","",""
"PRODUCT_PRICE","FLOAT","Yes","",""
"PRODUCT_IMAGE1","VARCHAR2(50)","Yes","",""
"PRODUCT_IMAGE2","VARCHAR2(50)","Yes","",""
"PRODUCT_IMAGE3","VARCHAR2(50)","Yes","",""
"PRODUCT_DESCRIPTION","VARCHAR2(500)","Yes","",""
"ALLERGY_INFORMATION","VARCHAR2(300)","Yes","",""
"STOCK_AVAILABLE","NUMBER","No","",""
"MIN_ORDER","NUMBER","No","",""
"MAX_ORDER","NUMBER","No","",""
"CAT_ID","NUMBER","Yes","",""
"SHOP_ID","NUMBER","Yes","",""
